,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
r,100482.42782592773,175848.9697265625,252367.4432373047,458978.6521911621,538820.7316589355,624592.4263000488,683661.968536377,725414.768371582,747830.2244567871,758405.3343200684,766091.1730957031,766903.1904602051,771643.1057739258,772115.2088928223,780934.0951538086,786353.8389587402,798439.6788024902,812281.7422485352,815680.8847045898,822177.0236206055,829107.4974060059,835358.1427001953,846896.3429260254,847368.4460449219,847708.3602905273,851220.8074951172,851409.6487426758,857074.8861694336,858359.006652832,866592.4850463867,876884.3330383301,879962.4453735352,885495.493927002,886836.266784668,887081.7604064941,887723.8206481934,887723.8206481934,887723.8206481934,888554.7221374512,889177.8982543945,890140.9886169434,890915.2377319336,892916.9549560547,896995.9259033203,897373.6083984375,901169.3174743652,901225.9698486328,901301.5063476562,901320.3904724121,901320.3904724121,901433.6952209473,902132.4078369141,902472.3220825195,903303.2235717773,905267.1725463867,905814.8121643066,911007.946472168,911385.6289672852,911480.0495910645,911480.0495910645,911933.2685852051,911971.0368347168,912065.4574584961,912329.8352050781,913104.0843200684,914199.3635559082,914652.5825500488,914992.4967956543,915162.453918457,915237.9904174805,915294.642791748,915294.642791748,915294.642791748,915766.7459106445,915804.5141601562,916031.1236572266,923452.5846862793,924000.2243041992,925435.4177856445,926020.8256530762,926587.349395752,927116.104888916,927210.5255126953,927210.5255126953,927267.1778869629,927286.0620117188,927286.0620117188,927739.2810058594,927852.5857543945,928249.1523742676,928475.7618713379,929231.1268615723,929722.1141052246,929797.650604248,929967.6077270508,929967.6077270508,929967.6077270508,929967.6077270508,930043.1442260742,930269.7537231445,931610.5265808105,933083.4883117676,933593.3596801758,933838.853302002,935047.437286377,936539.2831420898,936577.0513916016,936614.8196411133,936614.8196411133,936614.8196411133,936652.587890625,936803.6608886719,936898.0815124512,937389.0687561035,937464.605255127,937672.3306274414,938295.5067443848,938748.7257385254,938805.378112793,938805.378112793
z,102521.91329956055,165878.15185546875,257654.9981689453,486001.8347167969,564880.8238220215,638679.9833679199,683869.6939086914,729758.1170654297,764183.8764953613,777176.1543273926,783747.8297424316,785352.9803466797,786089.4612121582,787165.8563232422,790451.6940307617,796060.279083252,804860.2812194824,814491.1848449707,824839.6852111816,839059.4311523438,850257.7171325684,853279.1770935059,856451.7100524902,857641.4099121094,858604.5002746582,858963.2986450195,859322.0970153809,863231.1108398438,874656.0063171387,883739.270324707,887931.5460205078,893105.7962036133,900262.879486084,901528.1158447266,902037.9872131348,902207.9443359375,902264.5967102051,902264.5967102051,906437.98828125,907419.9627685547,909969.3196105957,912877.474822998,914558.1619262695,917258.5917663574,918278.3345031738,919732.412109375,919996.789855957,920053.4422302246,920072.3263549805,920091.2104797363,920280.0517272949,921488.6357116699,922961.597442627,923886.9195556641,926417.3922729492,927342.7143859863,931837.1360778809,932535.8486938477,932743.5740661621,932762.458190918,932762.458190918,932800.2264404297,933026.8359375,933574.4755554199,936633.7037658691,937559.0258789062,938352.1591186523,939145.2923583984,942676.6236877441,943035.4220581055,943129.8426818848,943167.6109313965,943186.4950561523,943243.1474304199,943375.3363037109,944225.1219177246,948851.7324829102,950286.9259643555,951419.973449707,953251.7335510254,953931.5620422363,954365.8969116211,954460.3175354004,954479.2016601562,954498.0857849121,954554.7381591797,954554.7381591797,955026.8412780762,955404.5237731934,956443.1506347656,956858.6013793945,958010.532989502,958916.9709777832,959162.4645996094,959313.5375976562,959389.0740966797,959389.0740966797,959389.0740966797,959483.494720459,959955.5978393555,960446.5850830078,961031.9929504395,961692.9373168945,963052.5942993164,963864.6116638184,964317.830657959,964393.3671569824,964412.2512817383,964450.01953125,964450.01953125,964525.5560302734,964865.4702758789,968113.5397338867,969850.8792114258,970209.6775817871,970776.2013244629,971588.2186889648,972022.5535583496,972135.8583068848,972173.6265563965
