,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
r,33901007.37121582,46514941.76376343,59506180.968933105,70562477.21511841,77314817.05169678,92467212.14630127,103488874.90768433,117346838.78677368,123525781.05926514,127363677.26989746,132551467.37045288,135687648.38928223,137736519.2729187,139156586.57043457,140844374.10461426,142425560.75454712,144656172.45483398,145538627.6046753,146817233.92364502,148658681.58096313,150300996.1427307,152100086.70822144,154107714.6633911,155594556.2260437,156737064.65789795,157148247.59033203,157739245.1586914,158897163.03634644,161184181.61727905,162816733.08654785,164200278.4867859,165429502.81951904,167161894.65637207,168596332.77282715,169929551.98059082,171456333.46710205,172489672.77374268,172735053.0908203,173196014.57611084,174122280.89538574,174786681.05667114,175536588.53485107,176123223.87039185,177008813.78494263,177674460.2984619,178714088.01864624,179428059.00741577,180190637.73330688,180558708.20892334,180803257.62451172,181234684.33868408,181790632.97149658,182077369.52178955,182289872.57766724,182708363.66638184,182988377.46826172,183390609.32556152,183941610.317688,184497766.6758728,184784465.45791626,185243972.8656006,185461442.44628906,185764362.6914978,186347636.65283203,186628368.05145264,186868819.611969,187134953.58215332,187401484.11895752,187658553.70925903,188007116.8840027,188568353.07174683,188726885.29907227,188904018.38928223,189046159.19631958,189406543.8331604,189681081.23886108,189912638.37661743,190174032.43148804,190560005.05737305,190878202.55950928,191120655.83724976,191370776.0696411,191643066.26449585,191878268.03833008,192079950.49072266,192144364.2402649,192299516.20925903,192499404.6697998,192697385.83374023,192928659.70962524,192980628.82095337,193147205.6854248,193406881.28494263,193812398.97994995,193951046.22390747,194114242.8300476,194370330.44586182,194488601.71920776,194624284.1555786,194767746.85134888,194923899.67895508,195181856.82312012,195394152.1536255,195660928.1840515,195912370.30517578,196251378.11279297,196539153.2899475,196842016.88278198,197056786.03363037,197138214.37957764,197255163.76419067,197475352.658844,197594303.76068115,197834377.6387024,198044066.95999146,198249450.70083618,198534412.1434021,198782285.1649475,199013691.2297058,199402024.3711853
z,26343731.716918945,43924795.212249756,59422392.10739136,68179527.28042603,75523317.90435791,87414046.97113037,96949170.31585693,107626915.39718628,116451466.89559937,120698109.98657227,124665249.14703369,127807869.65240479,129846977.44354248,131820840.58364868,132994356.74835205,134741988.07388306,135952196.09298706,136957851.2727356,137910933.04916382,139025568.51287842,140482138.82354736,141902640.45593262,143476953.28445435,144993801.721344,145920426.83898926,146414756.5727234,146826411.60827637,147958703.7286377,149041462.7897644,150275483.69018555,151672059.13650513,152525697.111969,153564814.9607849,154958010.1487732,156412068.8708496,157492278.57513428,158504467.66204834,158963370.77774048,159435341.70776367,160050284.34631348,160538061.28875732,161149906.93084717,161640403.18725586,162353486.62216187,162798226.6442871,163551061.1618042,164349104.27398682,165030009.16030884,165567017.0159912,165908347.57095337,166387626.65725708,166780605.2934265,167083355.58151245,167330511.00631714,167553532.51968384,167837228.7258911,168503573.95202637,169038542.3222351,169668932.1748352,169897958.83987427,170275867.94448853,170503383.87954712,170798618.28598022,171212142.84988403,171636488.01727295,171845969.6131897,172121979.98062134,172582809.27703857,172808096.88537598,173172560.49316406,173655843.01391602,173903923.76083374,174104057.71499634,174289065.4852295,174582241.5220642,174895378.07876587,175201187.59506226,175393088.0708313,175763500.17791748,176087495.10635376,176458719.23080444,176767587.97531128,177068770.88104248,177294436.171875,177499442.2302246,177551675.71929932,177659428.53515625,177846777.93685913,177996925.61279297,178184237.24624634,178240587.47451782,178333384.06356812,178636833.06427002,178933276.0546875,179081554.2022705,179209796.29348755,179426756.00280762,179483748.2913208,179610479.65255737,179683240.1852417,179842433.3569336,180020793.9152527,180181271.20742798,180334515.87982178,180506361.4151001,180761070.48980713,181044880.00076294,181303139.29092407,181444996.8360901,181509995.99349976,181606399.45037842,181778962.58239746,181880842.43545532,182038751.48666382,182296009.9182129,182514933.57650757,182848899.32281494,183226468.5131836,183554825.67443848,183876025.7524109
