db,u,g,r,i,z,y
ddf_loaded_fl1_v3_4_10yrs_QSONumberCountsMetric,6190402.381955745,10494428.450955143,12068416.784769116,12479635.404222276,12051082.836766714,9704490.947846398
too_combined_s1_5_v3_4_stripped_10yrs_QSONumberCountsMetric,6151883.067937596,10396218.86565421,11975711.704428889,12364734.130598407,11944379.538625302,9632546.557062449
too_combined_s1_0_v3_4_10yrs_QSONumberCountsMetric,6184720.216720128,10490179.850908827,12036983.347374728,12415773.70968837,11964229.630462592,9656123.731652819
too_elab_heavy_r128_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6247028.132068618,10443260.639167173,12009426.324457796,12423073.202719815,11970607.592708608,9792355.064822296
ddf_acor_sf10_lsf30_lsr50_v3_4_10yrs_QSONumberCountsMetric,6176167.768452207,10463600.31496162,12040338.000725724,12438536.20490018,12009992.922536321,9669634.787809871
too_elab_r8_d3_giz_v3_4_10yrs_QSONumberCountsMetric,6194340.968891971,10463631.416579422,12035028.650594547,12431642.072881952,11994964.005504714,9667074.086364426
weather_cloudso35v3_4_10yrs_QSONumberCountsMetric,6172799.262357098,10438945.836526,12028118.024441607,12421880.303984253,11974090.672756292,9658984.25297345
ddf_half_v3_4_10yrs_QSONumberCountsMetric,6180209.512981889,10463749.851516169,12026254.167341352,12427486.275537685,11986337.645314302,9664996.266264107
too_elab_heavy_r128_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6145166.8683755,10441480.96163145,12015589.59302604,12429573.813794425,11991079.822815944,9630588.006748792
too_elab_heavy_r128_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6222493.948563358,10442695.087513393,12012297.442369968,12428493.562248945,11964912.05881127,9780082.169634558
weather_cloudso8v3_4_10yrs_QSONumberCountsMetric,6201943.217337333,10477551.1640645,12051361.843682487,12457651.021434395,12023479.316672985,9687808.067416307
too_example_10_1v3_4_10yrs_QSONumberCountsMetric,6177126.196610518,10477466.041880507,12030826.042111477,12438674.840099243,11994834.711968673,9675531.724808138
too_combined_s0_8_v3_4_stripped_10yrs_QSONumberCountsMetric,6172615.1938400455,10441383.46451579,12009118.649469903,12394003.39459735,11964562.689101664,9654252.390378874
too_elab_2yr_r128_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6175794.341552918,10462976.210460834,12025431.7089689,12432767.012926567,11995944.544162685,9654040.343324704
too_elab_r8_d2_griz_v3_4_10yrs_QSONumberCountsMetric,6171449.246127929,10468968.639643105,12035389.122023273,12435766.784618435,12008192.719565568,9671929.042299375
too_elab_r8_d2_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6191547.972705654,10470655.713864965,12046147.059583317,12431270.125785857,11999481.015879532,9676540.277009128
ddf_acor_sf10_lsf15_lsr10_v3_4_10yrs_QSONumberCountsMetric,6182180.142096901,10470774.760710927,12037821.029951464,12436525.084665373,12010051.778692093,9661032.181595666
too_5_4v3_4_10yrs_QSONumberCountsMetric,6191126.958833501,10477792.052060446,12044173.31437866,12439790.819963513,12003406.11478417,9674565.064135725
ddf_acor_sf10_lsf30_lsr10_v3_4_10yrs_QSONumberCountsMetric,6174980.176202898,10470370.201585319,12031521.270554952,12428244.035653865,11999856.916796606,9656481.333363336
too_ignore_100_4v3_4_10yrs_QSONumberCountsMetric,6161947.827755332,10489778.816853248,12022494.985157102,12412562.577199792,12049970.914598867,9647509.02488045
too_elab_r64_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6177603.006862738,10437209.484343462,12028265.126887657,12437396.654662237,11996772.976271454,9657639.934588594
too_elab_r8_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6198182.165487097,10477302.012894616,12041171.884907337,12428820.805812057,12000515.042858709,9662015.284281
ddf_loaded_fl15_v3_4_10yrs_QSONumberCountsMetric,6158829.559871208,10470515.615401685,12035482.234455282,12436099.78854945,12009481.67647776,9654929.00455493
ddf_acor_sf10_lsf20_lsr20_v3_4_10yrs_QSONumberCountsMetric,6184440.837987907,10467894.64123283,12038861.448823176,12429776.317507347,12008357.460213419,9656237.632282171
ddf_acor_sf25_lsf30_lsr50_v3_4_10yrs_QSONumberCountsMetric,6183623.383936544,10472273.910516294,12030619.587976629,12424838.666452087,12000443.409533018,9657963.858520169
weather_cloudso30v3_4_10yrs_QSONumberCountsMetric,6147348.35547087,10426693.961042909,12016859.491941994,12410020.1362071,11951722.762928255,9632134.987696283
too_elab_heavy_r128_d2_gz_v3_4_10yrs_QSONumberCountsMetric,6140145.514025941,10434214.739876106,12016976.781165328,12428109.856587267,12026641.681478892,9631483.542188875
too_elab_r256_d3_gz_v3_4_10yrs_QSONumberCountsMetric,6136989.126397553,10399277.341923535,12018077.40632837,12424525.337805597,11995846.49408503,9628752.01341788
too_elab_r128_d2_giz_v3_4_10yrs_QSONumberCountsMetric,6190838.742802604,10438669.855280038,12025721.138285575,12423923.223800521,12001789.188299203,9644360.900267744
too_elab_r256_d3_ugrizy_v3_4_10yrs_QSONumberCountsMetric,6284868.879661395,10405224.813692894,12003175.540174235,12415660.763854949,11987317.62439422,9968336.743943669
weather_cloudso36v3_4_10yrs_QSONumberCountsMetric,6177950.16233943,10467625.62315145,12043070.991997484,12440092.383998923,12003750.473379567,9646278.38866692
ddf_acor_sf20_lsf40_lsr10_v3_4_10yrs_QSONumberCountsMetric,6179392.858393489,10462488.009377774,12040298.593788555,12435723.729972027,11996397.180922205,9659511.405319452
ddf_acor_sf15_lsf30_lsr50_v3_4_10yrs_QSONumberCountsMetric,6192138.4314321745,10482667.55399722,12031481.802583745,12423551.546512788,11988752.53127337,9666613.951053973
